title,genres,release_year,user_rating,keywords,director,description,poster_url,trailer_url,adult
Sunset Boulevard,Drama,1950,8.3,"new year's eve, jealousy, loss of sense of reality, screenwriter, butler, delusion, diva, film noir, hollywood, los angeles, california, black and white, madness, aging actor, has been, silent film star, grandiose  behavior, kept man, movie studio, bitter",Billy Wilder,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,https://image.tmdb.org/t/p/w500/sC4Dpmn87oz9AuxZ15Lmip0Ftgr.jpg,https://www.youtube.com/watch?v=_dY0SVxnHjQ,0
Sound of Hope: The Story of Possum Trot,Drama,2024,6.7,"mentally disabled, child abuse, jealousy, prayer, forgiveness, pastor, texas, foster parents, disabled child, gospel, based on true story, dysfunctional family, domestic violence, death of mother, religious film, east texas, foster care, 1990s, coping mechanisms, unconditional love, foster mom, christian film, black community, traumatized child, child sexual abuse, christian faith, inspirational, black stories, period piece, psychological trauma, broken trust, based on real person",Joshua Weigel,"Led by Donna and Reverend W.C. Martin, 22 families from a rural Black church in the small East Texas town of Possum Trot adopt 77 of the most difficult-to-place kids in the foster system and kickstart a movement in the process.",https://image.tmdb.org/t/p/w500/fj8zjuUND04DQ49gfQL2OUGWMH3.jpg,https://www.youtube.com/watch?v=-nyh9tcGFcI,1
The Quick and the Dead,"Western, Action",1995,6.542,"gunslinger, revenge, prairie, shootout, awestruck",Sam Raimi,"A mysterious woman comes to compete in a quick-draw elimination tournament, in a town taken over by a notorious gunman.",https://image.tmdb.org/t/p/w500/jhEmrXJpP6F3cqwyLjvgBgxxxFA.jpg,https://www.youtube.com/watch?v=Lo9cGqmHXhg,0
Death Sentence,"Action, Crime, Drama, Thriller",2007,6.8,"based on novel or book, loss of loved one, repayment, revenge, murder, gang, shootout, police officer killed, hospital, brutality, justice, hoodlum, semiautomatic pistol, neo-noir",James Wan,"Nick Hume is a mild-mannered executive with a perfect life, until one gruesome night he witnesses something that changes him forever. Transformed by grief, Hume eventually comes to the disturbing conclusion that no length is too great when protecting his family.",https://image.tmdb.org/t/p/w500/3rdEAMh4a3pc7GO6fSkJwpt7BWX.jpg,https://www.youtube.com/watch?v=RVdWq9jxejI,0
The Legion,"Adventure, History, Action",2020,6.0,,Jose Magan,"Noreno, a half-Roman, is entrusted with the mission of crossing the snowy mountains of Armenia, swarming with Parthian patrols, to seek help for his slowly dying men.",https://image.tmdb.org/t/p/w500/1kiCqFizPPpULUR1YhAkp8bO9Jo.jpg,https://www.youtube.com/watch?v=uDp1pBwrqKE,0
Blade of the 47 Ronin,Fantasy,2022,6.5,"samurai, budapest, hungary",Ron Yuan,"In this sequel to ""47 Ronin,"" a new class of warriors emerges among the Samurai clans to keep a sought-after sword from falling into the wrong hands.",https://image.tmdb.org/t/p/w500/kjFDIlUCJkcpFxYKtE6OsGcAfQQ.jpg,https://www.youtube.com/watch?v=xWN2iVRlqek,0
Suicide Squad: Hell to Pay,"Science Fiction, Action, Animation",2018,7.092,"based on comic, adult animation, dc animated movie universe",Sam Liu,"It’s batter up at Belle Reve and that can only mean that Amanda Waller, the penitentiary’s cold and calculating warden, has a mission that only the damned will take on. It’s time to unleash Task Force X again, stacked with seasoned vets such as Deadshot, Captain Boomerang and Harley Quinn, these crafty criminals are joined by newcomers Copperhead, Killer Frost and the martial art master, Bronze Tiger! With the target objective being a mystical object so powerful that they’re willing to risk their own lives to steal it, you can be sure it will be collision of chaos, gunfire and attitudes. So, take aim for a raging road trip with the Suicide Squad!",https://image.tmdb.org/t/p/w500/dz1gFifZuqSKxy97Se5yhGtnZNu.jpg,https://www.youtube.com/watch?v=l0FyWzZtI94,0
No Reservations,"Comedy, Romance, Drama",2007,6.648,"new love, funeral, loss of loved one, italy, competition, cooking, mother role, bars and restaurants, restaurant, perfectionist, fine dining",Scott Hicks,"Master chef Kate Armstrong runs her life and her kitchen with intimidating intensity. However, a recipe for disaster may be in the works when she becomes the guardian of her young niece while crossing forks with the brash sous-chef who just joined her staff. Though romance blooms in the face of rivalry, Kate needs to look outside the kitchen to find true happiness.",https://image.tmdb.org/t/p/w500/eKqfRSf0DZ0Qey1f9ZHuZfsmXVR.jpg,https://www.youtube.com/watch?v=qm68An_PzAs,0
Goyo,"Drama, Romance, Comedy",2024,6.883,"love, asperger's syndrome",Marcos Carnevale,"A young autistic museum guide lives by a strict routine — until he falls in love with his coworker and must confront a whirlwind of new, intense emotions.",https://image.tmdb.org/t/p/w500/fCjC1RRbEJUpDjM55RNUMXQen0b.jpg,,0
B&B Merry,"Romance, Comedy, Drama, Tv Movie",2022,6.0,christmas,Paula Elle,"Tracey Wise is a renowned luxury travel blogger who is invited by Graham Cooper to a Christmas getaway in exchange for her review of his family’s small bed & breakfast, Silver Peak. Unfortunately, the humble B&B is facing tough competition from an upscale hotel resort nearby that has been stealing guests and threatening the survival of the family business.",https://image.tmdb.org/t/p/w500/7WSMNERoqgtOwV1Q5xDmAiLvMeE.jpg,,0
