title,genres,user_rating,keywords,director,adult,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,Unknown,War,Western
Moana 2,"['Animation', 'Adventure', 'Family', 'Comedy']",0.7000000000000001,"sea, ocean, villain, musical, sequel",David G. Derrick Jr.,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Venom: The Last Dance,"['Science Fiction', 'Action', 'Adventure']",0.6443,"hero, superhero, anti hero, villain, alien life-form, based on comic, sequel, aftercreditsstinger, woman director, bitter",Kelly Marcel,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Smile 2,"['Horror', 'Mystery']",0.6646000000000001,"drug dealer, new york city, suicide, concert, delusion, trauma, hallucination, addiction, sequel, murder, curse, car accident, scar, demon, guilt, pop music, evil, sobriety, self-harm, delusional, popstar, smile, supernatural horror, body horror, tour",Parker Finn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
The Wild Robot,"['Animation', 'Science Fiction', 'Family']",0.8400000000000001,"robot, based on children's book, adopted son, kids, traditional parenting, hopeful",Chris Sanders,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Absolution,"['Action', 'Drama', 'Crime', 'Thriller']",0.6200000000000001,gangster,Hans Petter Moland,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Wicked,"['Drama', 'Fantasy', 'Romance']",0.76,"witch, dancing, based on novel or book, musical, female friendship, based on play or musical, singer, singing, fantasy world, wizard, gravity, ostracism, fantasy, wicked, sentimental, dignified, oz, wizard of oz, wonderful wizard of oz",Jon M. Chu,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Gladiator II,"['Action', 'Adventure']",0.67,"epic, gladiator, roman empire, ancient rome, sequel, evil tyrant, sword and sandal, sword fighting, second part",Ridley Scott,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spellbound,"['Animation', 'Fantasy', 'Family', 'Adventure', 'Comedy']",0.66,"magic, kingdom, musical, 3d animation",Vicky Jenson,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Heavenly Touch,"['Drama', 'Romance']",0.6462,"massage, philippines, massage parlor, softcore, masseur, gay theme, boys' love (bl)",Joel Lamangan,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Terrifier 3,"['Horror', 'Thriller']",0.6900000000000001,"monster, post-traumatic stress disorder (ptsd), angel, shower, child murder, santa claus, college, clown, bartender, gore, dormitory, sequel, serial killer, teenage girl, slasher, chainsaw, massacre, mental illness, disfigured face, mental asylum, cousin cousin relationship, mall santa, killer clown, terrorist bombing, christmas horror, evil clown, christmas spirit, christmas, murder of parents, orphan siblings, supernatural power, death of a child, supernatural horror, splatter, bar, bloody, independent film, blood, low budget, megaslasher, scary, serial killers",Damien Leone,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Apocalypse Z: The Beginning of the End,"['Drama', 'Action', 'Horror']",0.6784,"based on novel or book, cat, human animal relationship, galicia, spain, contagion spread, zombie, neighbor neighbor relationship, zombie apocalypse, traumatized man",Carles Torrens,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
GTMAX,"['Action', 'Crime', 'Drama']",0.6231,Unknown,Olivier Schneider,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Deadpool & Wolverine,"['Action', 'Comedy', 'Science Fiction']",0.7679,"hero, superhero, anti hero, mutant, breaking the fourth wall, marvel cinematic universe (mcu), mutants, superhero teamup",Shawn Levy,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Levels,"['Action', 'Science Fiction', 'Thriller']",0.5638,Unknown,Adam Stern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
The Substance,"['Drama', 'Horror', 'Science Fiction']",0.73,"new year's eve, capitalism, black market, identity, beauty, satire, aging, celebrity, female protagonist, los angeles, california, syringe, has been, aerobics, disfigurement, woman director, beauty standards, insecure woman, toxic masculinity, drug, body horror, youth, actress",Coralie Fargeat,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
Arena Wars,"['Action', 'Science Fiction', 'Thriller', 'Comedy', 'Horror']",0.5025000000000001,low budget,Brandon Slagle,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
Red One,"['Action', 'Comedy', 'Fantasy']",0.66,"bounty hunter, holiday, kidnapping, santa claus, polar bear, christmas, action comedy, family comedy, fantasy comedy",Jake Kasdan,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Alien: Romulus,"['Horror', 'Science Fiction']",0.7200000000000001,"alien life-form, alien, space, alien contact, alien monster, alien encounter, space capsule, alien hostility, frightened",Fede Álvarez,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Transformers One,"['Animation', 'Science Fiction', 'Adventure', 'Family']",0.8085000000000001,"based on toy, giant robot, aftercreditsstinger, duringcreditsstinger, buddy movie, brothers-in-arms relationship, origin story, friends to enemies, alien robot, absurd, ambiguous, excited",Josh Cooley,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Despicable Me 4,"['Animation', 'Family', 'Comedy', 'Action']",0.7084,"superhero, villain, sequel, super villain, calm, illumination, kids, hilarious, familiar",Chris Renaud,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
